"","Count","Words"
"it's not",8950,"it's not"
"to help",8935,"to help"
"most of",8933,"most of"
"up with",8918,"up with"
"don't know",8899,"don't know"
"for my",8824,"for my"
"he has",8808,"he has"
"did not",8804,"did not"
"they have",8783,"they have"
"and he",8766,"and he"
"of it",8729,"of it"
"had been",8686,"had been"
"such a",8674,"such a"
"i feel",8664,"i feel"
"you want",8653,"you want"
"when he",8636,"when he"
"because of",8617,"because of"
"if the",8604,"if the"
"not to",8602,"not to"
"you don't",8588,"you don't"
"and his",8568,"and his"
"i did",8550,"i did"
"off the",8521,"off the"
"she said",8441,"she said"
"a very",8413,"a very"
"could be",8402,"could be"
"up and",8397,"up and"
"of your",8328,"of your"
"the past",8297,"the past"
"in an",8280,"in an"
"do not",8268,"do not"
"you to",8209,"you to"
"around the",8208,"around the"
"to you",8171,"to you"
"and they",8162,"and they"
"what you",8155,"what you"
"in your",8150,"in your"
"used to",8145,"used to"
"a couple",8143,"a couple"
"and you",8133,"and you"
"make it",8102,"make it"
"the right",8080,"the right"
"what is",8073,"what is"
"a big",8006,"a big"
"the game",8004,"the game"
"i like",7994,"i like"
"and other",7962,"and other"
"do it",7923,"do it"
"of those",7906,"of those"
"it and",7905,"it and"
"make a",7883,"make a"
"to come",7866,"to come"
"in their",7862,"in their"
"he had",7823,"he had"
"just a",7799,"just a"
"me and",7798,"me and"
"it has",7795,"it has"
"out to",7783,"out to"
"try to",7733,"try to"
"in and",7730,"in and"
"about it",7728,"about it"
"look at",7718,"look at"
"you will",7671,"you will"
"i get",7647,"i get"
"because i",7637,"because i"
"is in",7633,"is in"
"love you",7623,"love you"
"know what",7612,"know what"
"are not",7610,"are not"
"is an",7608,"is an"
"well as",7607,"well as"
"to know",7571,"to know"
"forward to",7569,"forward to"
"i really",7522,"i really"
"a year",7484,"a year"
"the second",7454,"the second"
"and in",7422,"and in"
"to give",7413,"to give"
"people who",7410,"people who"
"of all",7403,"of all"
"been a",7391,"been a"
"see the",7317,"see the"
"in our",7309,"in our"
"can't wait",7291,"can't wait"
"who is",7270,"who is"
"for this",7263,"for this"
"my life",7224,"my life"
"get to",7205,"get to"
"last night",7191,"last night"
"may be",7180,"may be"
"of her",7127,"of her"
"not the",7105,"not the"
"of you",7105,"of you"
"up in",7085,"up in"
"is it",7067,"is it"
"i've been",7056,"i've been"
"got a",7042,"got a"
"get the",7039,"get the"
"was in",7038,"was in"
"the top",7030,"the top"
"the rest",6992,"the rest"
"know that",6984,"know that"
"a long",6984,"a long"
"looking for",6969,"looking for"
"before the",6953,"before the"
"of us",6939,"of us"
"years ago",6936,"years ago"
"the house",6891,"the house"
"we had",6874,"we had"
"high school",6871,"high school"
"to play",6859,"to play"
"take a",6846,"take a"
"so many",6842,"so many"
"are a",6832,"are a"
"on this",6827,"on this"
"to use",6824,"to use"
"number of",6823,"number of"
"at all",6809,"at all"
"is going",6799,"is going"
"don't have",6799,"don't have"
"of that",6798,"of that"
"it in",6785,"it in"
"that would",6776,"that would"
"was not",6746,"was not"
"be able",6745,"be able"
"the one",6745,"the one"
"those who",6699,"those who"
"the u.s",6694,"the u.s"
"no one",6679,"no one"
"and to",6611,"and to"
"and my",6607,"and my"
"them to",6596,"them to"
"she is",6586,"she is"
"when it",6535,"when it"
"see you",6526,"see you"
"not be",6482,"not be"
"is so",6475,"is so"
"if they",6472,"if they"
"we will",6458,"we will"
"of these",6434,"of these"
"what the",6411,"what the"
"be in",6398,"be in"
"couple of",6383,"couple of"
"me i",6357,"me i"
"did you",6355,"did you"
"last week",6350,"last week"
"than the",6321,"than the"
"you get",6277,"you get"
"is no",6271,"is no"
"after a",6264,"after a"
"on his",6260,"on his"
"enough to",6255,"enough to"
"time i",6254,"time i"
"when they",6241,"when they"
"for your",6218,"for your"
"instead of",6217,"instead of"
"lots of",6189,"lots of"
"and not",6188,"and not"
"the two",6179,"the two"
"let me",6176,"let me"
"on your",6176,"on your"
"the whole",6158,"the whole"
"went to",6145,"went to"
"you and",6139,"you and"
"does not",6135,"does not"
"the people",6127,"the people"
"for all",6118,"for all"
"is one",6104,"is one"
"and is",6087,"and is"
"to his",6080,"to his"
"feel like",6076,"feel like"
"with his",6056,"with his"
"as it",6036,"as it"
"down the",6030,"down the"
"to start",6018,"to start"
"first time",6013,"first time"
"you for",5999,"you for"
"with you",5980,"with you"
"to all",5974,"to all"
"you think",5973,"you think"
"you do",5969,"you do"
"in that",5969,"in that"
"of an",5966,"of an"
"who are",5962,"who are"
"but he",5937,"but he"
"rest of",5903,"rest of"
"how much",5893,"how much"
"when we",5846,"when we"
"ready to",5833,"ready to"
"to this",5808,"to this"
"to hear",5807,"to hear"
"about a",5805,"about a"
"as an",5789,"as an"
"come to",5785,"come to"
"the year",5776,"the year"
"decided to",5762,"decided to"
"the fact",5747,"the fact"
"me a",5746,"me a"
"back in",5746,"back in"
"too much",5742,"too much"
"might be",5740,"might be"
"hard to",5731,"hard to"
"out there",5720,"out there"
"so far",5719,"so far"
"will have",5716,"will have"
"that are",5707,"that are"
"now i",5703,"now i"
"away from",5700,"away from"
"if it",5699,"if it"
"said that",5688,"said that"
"against the",5685,"against the"
"this morning",5675,"this morning"
"up for",5669,"up for"
"what a",5653,"what a"
"the company",5645,"the company"
"it all",5637,"it all"
"love to",5636,"love to"
"under the",5632,"under the"
"many of",5629,"many of"
"where the",5626,"where the"
"that will",5619,"that will"
"i guess",5617,"i guess"
"i hate",5605,"i hate"
"with me",5602,"with me"
"check out",5596,"check out"
"this was",5581,"this was"
"out and",5560,"out and"
"you need",5537,"you need"
"than a",5524,"than a"
"for an",5510,"for an"
"to your",5506,"to your"
"it i",5500,"it i"
"that a",5492,"that a"
"across the",5490,"across the"
"him to",5477,"him to"
"for his",5459,"for his"
"of what",5443,"of what"
"got to",5436,"got to"
"not only",5435,"not only"
"follow me",5426,"follow me"
"who was",5404,"who was"
"their own",5404,"their own"
"and more",5387,"and more"
"up on",5384,"up on"
"if you're",5363,"if you're"
"or the",5354,"or the"
"to put",5344,"to put"
"in which",5341,"in which"
"there were",5340,"there were"
"and was",5337,"and was"
"this time",5333,"this time"
"of people",5331,"of people"
"a small",5323,"a small"
"as much",5321,"as much"
"a day",5319,"a day"
"i'm going",5315,"i'm going"
"as they",5309,"as they"
"the book",5309,"the book"
"with an",5292,"with an"
"wants to",5282,"wants to"
"to win",5278,"to win"
"hope you",5265,"hope you"
"is my",5263,"is my"
"having a",5263,"having a"
"up a",5255,"up a"
"i wish",5254,"i wish"
"or a",5249,"or a"
"that she",5241,"that she"
"it out",5225,"it out"
"and i'm",5218,"and i'm"
"make the",5204,"make the"
"along with",5199,"along with"
"with her",5195,"with her"
"each other",5185,"each other"
"based on",5182,"based on"
"but it's",5178,"but it's"
"fact that",5176,"fact that"
"time for",5170,"time for"
"looking forward",5165,"looking forward"
"wait to",5148,"wait to"
"must be",5132,"must be"
"my favorite",5132,"my favorite"
"and all",5129,"and all"
"we need",5107,"we need"
"said it",5105,"said it"
"of its",5103,"of its"
"if we",5100,"if we"
"who has",5099,"who has"
"so that",5096,"so that"
"the country",5093,"the country"
"and it's",5084,"and it's"
"the story",5076,"the story"
"think i",5075,"think i"
"as he",5071,"as he"
"the big",5053,"the big"
"is just",5052,"is just"
"in her",5044,"in her"
"then i",5041,"then i"
"as we",5039,"as we"
"make sure",5033,"make sure"
"but not",5022,"but not"
"thanks to",5019,"thanks to"
"had the",5010,"had the"
"a week",5010,"a week"
"like that",5006,"like that"
"this weekend",4989,"this weekend"
"about to",4985,"about to"
"in fact",4981,"in fact"
"for some",4977,"for some"
"there's a",4971,"there's a"
"you should",4959,"you should"
"to try",4952,"to try"
"on their",4938,"on their"
"i wanted",4934,"i wanted"
"at this",4930,"at this"
"said i",4916,"said i"
"have you",4908,"have you"
"love the",4905,"love the"
"and have",4894,"and have"
"have no",4883,"have no"
"to her",4874,"to her"
"say that",4872,"say that"
"you guys",4869,"you guys"
"to our",4857,"to our"
"don't want",4854,"don't want"
"my own",4854,"my own"
"it a",4843,"it a"
"but they",4839,"but they"
"a man",4837,"a man"
"the season",4826,"the season"
"is still",4806,"is still"
"even though",4803,"even though"
"you can't",4771,"you can't"
"what they",4768,"what they"
"it's the",4764,"it's the"
"percent of",4758,"percent of"
"i still",4751,"i still"
"i see",4747,"i see"
"for more",4747,"for more"
"know how",4742,"know how"
"that has",4739,"that has"
"to watch",4735,"to watch"
"time and",4723,"time and"
"st louis",4715,"st louis"
"needs to",4709,"needs to"
"i'll be",4707,"i'll be"
"bit of",4702,"bit of"
"has to",4700,"has to"
"for that",4699,"for that"
"for it",4698,"for it"
"even if",4697,"even if"
"they can",4692,"they can"
"to look",4686,"to look"
"are in",4682,"are in"
"and if",4681,"and if"
"going on",4678,"going on"
"you were",4676,"you were"
"the team",4656,"the team"
"can do",4656,"can do"
"tried to",4654,"tried to"
"don't think",4654,"don't think"
"because the",4653,"because the"
"talking about",4639,"talking about"
"what we",4630,"what we"
"it up",4620,"it up"
"this one",4617,"this one"
"the case",4613,"the case"
"was just",4604,"was just"
"i saw",4603,"i saw"
"could have",4598,"could have"
"a while",4596,"a while"
"down to",4591,"down to"
"but we",4582,"but we"
"for our",4573,"for our"
"and she",4571,"and she"
"is on",4568,"is on"
"working on",4568,"working on"
"better than",4563,"better than"
"for her",4558,"for her"
"to meet",4557,"to meet"
"like it",4556,"like it"
"the show",4553,"the show"
"like this",4548,"like this"
"as you",4547,"as you"
"if he",4543,"if he"
"rather than",4535,"rather than"
"to pay",4533,"to pay"
"due to",4526,"due to"
"that this",4526,"that this"
"need a",4522,"need a"
"and so",4520,"and so"
"get it",4518,"get it"
"looks like",4517,"looks like"
"with this",4517,"with this"
"i should",4491,"i should"
"in new",4470,"in new"
"is what",4466,"is what"
"ready for",4466,"ready for"
"i used",4465,"i used"
"to tell",4460,"to tell"
"because it",4457,"because it"
"will not",4453,"will not"
"since the",4426,"since the"
"chance to",4422,"chance to"
"was so",4422,"was so"
"the middle",4421,"the middle"
"us to",4414,"us to"
"to their",4413,"to their"
"and get",4408,"and get"
"do i",4401,"do i"
"on to",4398,"on to"
"the united",4396,"the united"
"and for",4396,"and for"
"for their",4382,"for their"
"to it",4380,"to it"
"on it",4373,"on it"
"is also",4370,"is also"
"at home",4359,"at home"
"and now",4359,"and now"
"front of",4357,"front of"
"they will",4352,"they will"
"and how",4341,"and how"
"he would",4341,"he would"
"between the",4337,"between the"
"love it",4330,"love it"
"and her",4318,"and her"
"think of",4307,"think of"
"so we",4306,"so we"
"from my",4296,"from my"
"being a",4296,"being a"
"i also",4283,"i also"
"i went",4280,"i went"
"less than",4273,"less than"
"a way",4266,"a way"
"i found",4262,"i found"
"and their",4252,"and their"
"for us",4249,"for us"
"talk about",4244,"talk about"
"seems to",4240,"seems to"
"who have",4233,"who have"
"should have",4226,"should have"
"in order",4222,"in order"
"not have",4218,"not have"
"side of",4218,"side of"
"you could",4215,"you could"
"with your",4215,"with your"
"day of",4211,"day of"
"not sure",4208,"not sure"
"with it",4208,"with it"
"to think",4201,"to think"
"but you",4196,"but you"
"we all",4190,"we all"
"new jersey",4189,"new jersey"
"the more",4185,"the more"
"can you",4183,"can you"
"i'm a",4183,"i'm a"
"to an",4183,"to an"
"is now",4182,"is now"
"the final",4181,"the final"
"out in",4173,"out in"
"they had",4171,"they had"
"like i",4169,"like i"
"all that",4164,"all that"
"because they",4163,"because they"
"tell you",4161,"tell you"
"but i'm",4150,"but i'm"
"it for",4150,"it for"
"can get",4138,"can get"
"much of",4133,"much of"
"it on",4131,"it on"
"and what",4130,"and what"
"a huge",4129,"a huge"
"sort of",4126,"sort of"
"made a",4122,"made a"
"to talk",4120,"to talk"
"that there",4112,"that there"
"have an",4109,"have an"
"for years",4103,"for years"
"i mean",4098,"i mean"
"the national",4095,"the national"
"a time",4093,"a time"
"in one",4091,"in one"
"the back",4088,"the back"
"the future",4088,"the future"
"what it",4081,"what it"
"and this",4081,"and this"
"to buy",4075,"to buy"
"are so",4073,"are so"
"was going",4071,"was going"
"a chance",4067,"a chance"
"on that",4058,"on that"
"people are",4056,"people are"
"may have",4052,"may have"
"to share",4047,"to share"
"she has",4046,"she has"
"united states",4042,"united states"
"supposed to",4040,"supposed to"
"i never",4038,"i never"
"where i",4036,"where i"
"you like",4033,"you like"
"in front",4032,"in front"
"i knew",4030,"i knew"
"me that",4026,"me that"
"my first",4023,"my first"
"but that",4022,"but that"
"his own",4017,"his own"
"do the",4012,"do the"
"top of",4004,"top of"
"how many",3999,"how many"
"to read",3997,"to read"
"the idea",3994,"the idea"
"said in",3979,"said in"
"and there",3976,"and there"
"and some",3975,"and some"
"all i",3969,"all i"
"continue to",3967,"continue to"
"a nice",3966,"a nice"
"to stop",3957,"to stop"
"out for",3957,"out for"
"we don't",3952,"we don't"
"the word",3946,"the word"
"i haven't",3945,"i haven't"
"the night",3932,"the night"
"full of",3926,"full of"
"seem to",3925,"seem to"
"think that",3920,"think that"
"you all",3917,"you all"
"and will",3913,"and will"
"my mom",3913,"my mom"
"time in",3903,"time in"
"i said",3899,"i said"
"i miss",3894,"i miss"
"are going",3888,"are going"
"not just",3885,"not just"
"wish i",3881,"wish i"
"while the",3880,"while the"
"know i",3874,"know i"
"listening to",3868,"listening to"
"until the",3863,"until the"
"think about",3863,"think about"
"happy birthday",3851,"happy birthday"
"no longer",3840,"no longer"
"any of",3829,"any of"
"much more",3824,"much more"
"we do",3813,"we do"
"i made",3809,"i made"
"on our",3804,"on our"
"you a",3798,"you a"
"the road",3796,"the road"
"when she",3787,"when she"
"was an",3786,"was an"
"close to",3786,"close to"
"to stay",3783,"to stay"
"you in",3782,"you in"
"do with",3771,"do with"
"for those",3771,"for those"
"told me",3765,"told me"
"amount of",3762,"amount of"
"to live",3758,"to live"
"to show",3752,"to show"
"every day",3742,"every day"
"you see",3739,"you see"
"live in",3737,"live in"
"and has",3736,"and has"
"the public",3732,"the public"
"to write",3732,"to write"
"and even",3731,"and even"
"tell me",3730,"tell me"
"it the",3718,"it the"
"to create",3717,"to create"
"made it",3717,"made it"
"the man",3716,"the man"
"with their",3715,"with their"
"it doesn't",3714,"it doesn't"
"with that",3707,"with that"
"one day",3707,"one day"
"with some",3704,"with some"
"the school",3704,"the school"
"next week",3703,"next week"
"just got",3697,"just got"
"off to",3689,"off to"
"take the",3686,"take the"
"about this",3681,"about this"
"the entire",3681,"the entire"
"would like",3680,"would like"
"back and",3676,"back and"
"on twitter",3676,"on twitter"
"of time",3675,"of time"
"the old",3675,"the old"
"makes me",3674,"makes me"
"good morning",3665,"good morning"
"them in",3659,"them in"
"am i",3655,"am i"
"find a",3652,"find a"
"it with",3645,"it with"
"and when",3642,"and when"
"do that",3640,"do that"
"she had",3634,"she had"
"the kids",3624,"the kids"
"a better",3622,"a better"
"two years",3618,"two years"
"just as",3616,"just as"
"day and",3615,"day and"
"in all",3612,"in all"
"on her",3611,"on her"
"they don't",3607,"they don't"
"the follow",3605,"the follow"
"it but",3598,"it but"
"in it",3597,"in it"
"how the",3596,"how the"
"has the",3594,"has the"
"or not",3591,"or not"
"be on",3591,"be on"
"with all",3582,"with all"
"to bring",3581,"to bring"
"much as",3576,"much as"
"here is",3568,"here is"
"which was",3567,"which was"
"to that",3567,"to that"
"to him",3567,"to him"
"order to",3565,"order to"
"all over",3565,"all over"
"it seems",3561,"it seems"
"all my",3559,"all my"
"them and",3559,"them and"
"only one",3558,"only one"
"me in",3556,"me in"
"expected to",3555,"expected to"
"at my",3545,"at my"
"about how",3545,"about how"
"to learn",3541,"to learn"
"which i",3537,"which i"
"what do",3534,"what do"
"a large",3531,"a large"
"but if",3528,"but if"
"so the",3527,"so the"
"what are",3520,"what are"
"for them",3515,"for them"
"your own",3509,"your own"
"and one",3506,"and one"
"waiting for",3503,"waiting for"
"here in",3500,"here in"
"how i",3500,"how i"
"listen to",3498,"listen to"
"before i",3493,"before i"
"know the",3488,"know the"
"can see",3485,"can see"
"him and",3480,"him and"
"what he",3480,"what he"
"talk to",3477,"talk to"
"los angeles",3477,"los angeles"
"it's been",3475,"it's been"
"would not",3474,"would not"
"in to",3474,"in to"
"is this",3473,"is this"
"as if",3472,"as if"
"came to",3469,"came to"
"to follow",3461,"to follow"
"the great",3452,"the great"
"sense of",3444,"sense of"
"he will",3441,"he will"
"all day",3440,"all day"
"in some",3440,"in some"
"of me",3439,"of me"
"and as",3433,"and as"
"got the",3420,"got the"
"i'm so",3415,"i'm so"
"that's what",3407,"that's what"
"but in",3402,"but in"
"the third",3400,"the third"
"interested in",3397,"interested in"
"out on",3396,"out on"
"that's a",3387,"that's a"
"and an",3384,"and an"
"to leave",3382,"to leave"
"no matter",3381,"no matter"
"you just",3378,"you just"
"who had",3377,"who had"
"life is",3371,"life is"
"out a",3369,"out a"
"to move",3367,"to move"
"to change",3360,"to change"
"lack of",3359,"lack of"
"that in",3358,"that in"
"a whole",3345,"a whole"
"can i",3338,"can i"
"people in",3333,"people in"
"the good",3327,"the good"
"in its",3321,"in its"
"the morning",3319,"the morning"
"and its",3316,"and its"
"along the",3314,"along the"
"you would",3312,"you would"
"the car",3312,"the car"
"it can",3302,"it can"
"things that",3294,"things that"
"since i",3289,"since i"
"next year",3289,"next year"
"but this",3286,"but this"
"the government",3284,"the government"
"i believe",3281,"i believe"
"among the",3280,"among the"
"it comes",3274,"it comes"
"that one",3269,"that one"
"comes to",3266,"comes to"
"now that",3259,"now that"
"it wasn't",3258,"it wasn't"
"needed to",3256,"needed to"
"it just",3255,"it just"
"for him",3252,"for him"
"was to",3250,"was to"
"it as",3247,"it as"
"but a",3246,"but a"
"he says",3243,"he says"
"so you",3239,"so you"
"this season",3236,"this season"
"me the",3234,"me the"
"an hour",3228,"an hour"
"just like",3227,"just like"
"see what",3221,"see what"
"i always",3220,"i always"
"for example",3218,"for example"
"my new",3218,"my new"
"my mind",3217,"my mind"
"i felt",3215,"i felt"
"he did",3215,"he did"
"a different",3209,"a different"
"i couldn't",3207,"i couldn't"
"look like",3207,"look like"
"said she",3206,"said she"
"more of",3202,"more of"
"my heart",3199,"my heart"
"they would",3199,"they would"
"wait for",3196,"wait for"
"said they",3191,"said they"
"director of",3188,"director of"
"ability to",3186,"ability to"
"year and",3184,"year and"
"the main",3182,"the main"
"to eat",3181,"to eat"
"looking at",3181,"looking at"
"with him",3170,"with him"
"of being",3170,"of being"
"you may",3169,"you may"
"that my",3167,"that my"
"to them",3166,"to them"
"the family",3164,"the family"
"is about",3164,"is about"
"my head",3160,"my head"
"made the",3156,"made the"
"a bad",3155,"a bad"
"are all",3154,"are all"
"not going",3151,"not going"
"the number",3150,"the number"
"good luck",3150,"good luck"
"well i",3147,"well i"
"and had",3145,"and had"
"the real",3144,"the real"
"what to",3144,"what to"
"the sun",3143,"the sun"
"today i",3140,"today i"
"piece of",3137,"piece of"
"people to",3137,"people to"
"a friend",3136,"a friend"
"to run",3134,"to run"
"how do",3132,"how do"
"it's just",3131,"it's just"
"so it",3121,"so it"
"excited to",3120,"excited to"
"i'm sure",3118,"i'm sure"
"the law",3118,"the law"
"years of",3116,"years of"
"use the",3114,"use the"
"is more",3111,"is more"
"the very",3109,"the very"
"do a",3109,"do a"
"next to",3106,"next to"
"the ball",3102,"the ball"
"out with",3100,"out with"
"may not",3100,"may not"
"the door",3098,"the door"
"that have",3098,"that have"
"that can",3096,"that can"
"a real",3093,"a real"
"use of",3093,"use of"
"opportunity to",3091,"opportunity to"
"that if",3084,"that if"
"the film",3082,"the film"
"what was",3077,"what was"
"is very",3076,"is very"
"know if",3076,"know if"
"even more",3075,"even more"
"think it",3072,"think it"
"i say",3072,"i say"
"am not",3070,"am not"
"why i",3069,"why i"
"of new",3065,"of new"
"and make",3064,"and make"
"easy to",3062,"easy to"
"in love",3062,"in love"
"just the",3057,"just the"
"day i",3052,"day i"
"might have",3051,"might have"
"group of",3047,"group of"
"be an",3042,"be an"
"would you",3041,"would you"
"long time",3040,"long time"
"where you",3040,"where you"
"san francisco",3039,"san francisco"
"that's the",3038,"that's the"
"yes i",3035,"yes i"
"the movie",3035,"the movie"
"a month",3027,"a month"
"see it",3023,"see it"
"good to",3019,"good to"
"of life",3014,"of life"
"to let",3014,"to let"
"same time",3014,"same time"
"we got",3012,"we got"
"the biggest",3009,"the biggest"
"and just",3004,"and just"
"become a",3004,"become a"
"and no",3004,"and no"
"and are",3003,"and are"
"was on",3003,"was on"
"deal with",3001,"deal with"
"the american",3001,"the american"
"the bottom",2999,"the bottom"
"a single",2999,"a single"
"his first",2995,"his first"
"have had",2993,"have had"
"something that",2992,"something that"
"university of",2991,"university of"
"and your",2987,"and your"
"throughout the",2983,"throughout the"
"he could",2982,"he could"
"back on",2979,"back on"
"when a",2979,"when a"
"the university",2971,"the university"
"thinking about",2970,"thinking about"
"time of",2969,"time of"
"life and",2967,"life and"
"because he",2966,"because he"
"list of",2961,"list of"
"happy to",2961,"happy to"
"told the",2961,"told the"
"took a",2957,"took a"
"only a",2950,"only a"
"see a",2948,"see a"
"while i",2947,"while i"
"a wonderful",2945,"a wonderful"
"i started",2945,"i started"
"could not",2942,"could not"
"a more",2939,"a more"
"the money",2938,"the money"
"the week",2935,"the week"
"think the",2934,"think the"
"where he",2933,"where he"
"my friend",2932,"my friend"
"your life",2931,"your life"
"a woman",2931,"a woman"
"after all",2926,"after all"
"believe that",2922,"believe that"
"a second",2922,"a second"
"the point",2920,"the point"
"and on",2918,"and on"
"do this",2918,"do this"
"here and",2914,"here and"
"a book",2908,"a book"
"on friday",2907,"on friday"
"they do",2906,"they do"
"with them",2906,"with them"
"day to",2892,"day to"
"at p.m",2892,"at p.m"
"her to",2891,"her to"
"be there",2889,"be there"
"is all",2885,"is all"
"you so",2882,"you so"
"to sleep",2877,"to sleep"
"way of",2876,"way of"
"we could",2875,"we could"
"now and",2875,"now and"
"long as",2872,"long as"
"the worst",2871,"the worst"
"type of",2871,"type of"
"willing to",2870,"willing to"
"every time",2870,"every time"
"sure to",2869,"sure to"
"the moment",2868,"the moment"
"but there",2868,"but there"
"over a",2867,"over a"
"the truth",2866,"the truth"
"find out",2865,"find out"
"little bit",2863,"little bit"
"the name",2860,"the name"
"at work",2859,"at work"
"and that's",2859,"and that's"
"we should",2852,"we should"
"about what",2850,"about what"
"are still",2848,"are still"
"from his",2841,"from his"
"had no",2840,"had no"
"members of",2837,"members of"
"have any",2834,"have any"
